date,cases,cum
2020-01-22,1,1
2020-01-23,0,1
2020-01-24,1,2
2020-01-25,0,2
2020-01-26,3,5
2020-01-27,0,5
2020-01-28,0,5
2020-01-29,0,5
2020-01-30,0,5
2020-01-31,2,7
2020-02-01,1,8
2020-02-02,0,8
2020-02-03,3,11
2020-02-04,0,11
2020-02-05,0,11
2020-02-06,0,11
2020-02-07,0,11
2020-02-08,0,11
2020-02-09,0,11
2020-02-10,0,11
2020-02-11,1,12
2020-02-12,0,12
2020-02-13,1,13
2020-02-14,0,13
2020-02-15,0,13
2020-02-16,0,13
2020-02-17,0,13
2020-02-18,0,13
2020-02-19,0,13
2020-02-20,0,13
2020-02-21,2,15
2020-02-22,0,15
2020-02-23,0,15
2020-02-24,36,51
2020-02-25,0,51
2020-02-26,6,57
2020-02-27,1,58
2020-02-28,2,60
2020-02-29,8,68
2020-03-01,6,74
2020-03-02,24,98
2020-03-03,20,118
2020-03-04,31,149
2020-03-05,70,219
2020-03-06,48,267
2020-03-07,136,403
2020-03-08,116,519
2020-03-09,69,588
2020-03-10,374,962
2020-03-11,323,1285
2020-03-12,382,1667
2020-03-13,514,2181
2020-03-14,548,2729
2020-03-15,807,3536
2020-03-16,1125,4661
2020-03-17,1776,6437
2020-03-18,1344,7781
2020-03-19,5967,13748
2020-03-20,5526,19274
2020-03-21,6326,25600
2020-03-22,7680,33280
2020-03-23,10582,43862
2020-03-24,10063,53925
2020-03-25,11919,65844
2020-03-26,17992,83836
2020-03-27,18126,101962
2020-03-28,19824,121786
2020-03-29,19124,140910
2020-03-30,21237,162147
2020-03-31,26025,188172
2020-04-01,25430,213602
2020-04-02,30406,244008
2020-04-03,31790,275798
2020-04-04,33229,309027
2020-04-05,27775,336802
2020-04-06,29515,366317
2020-04-07,30804,397121
2020-04-08,31533,428654
2020-04-09,34673,463327
2020-04-10,33519,496846
2020-04-11,29930,526776
2020-04-12,28537,555313
2020-04-13,25311,580624
2020-04-14,27046,607670
2020-04-15,29004,636674
2020-04-16,31307,667981
2020-04-17,32081,700062
2020-04-18,32528,732590
2020-04-19,26219,758809
2020-04-20,25899,784708
2020-04-21,27157,811865
2020-04-22,28486,840351
2020-04-23,28819,869170
2020-04-24,36188,905358
2020-04-25,32796,938154
2020-04-26,27631,965785
2020-04-27,22412,988197
2020-04-28,24385,1012582
2020-04-29,27327,1039909
2020-04-30,29515,1069424
2020-05-01,34037,1103461
2020-05-02,29078,1132539
2020-05-03,25501,1158040
2020-05-04,22335,1180375
2020-05-05,23976,1204351
2020-05-06,24980,1229331
2020-05-07,27692,1257023
2020-05-08,26906,1283929
2020-05-09,25621,1309550
2020-05-10,19710,1329260
2020-05-11,18621,1347881
2020-05-12,21495,1369376
2020-05-13,21030,1390406
2020-05-14,27368,1417774
2020-05-15,25050,1442824
2020-05-16,24996,1467820
2020-05-17,18937,1486757
2020-05-18,21551,1508308
2020-05-19,20260,1528568
2020-05-20,23285,1551853
2020-05-21,25294,1577147
2020-05-22,23790,1600937
2020-05-23,21675,1622612
2020-05-24,20634,1643246
2020-05-25,19056,1662302
2020-05-26,18611,1680913
2020-05-27,18263,1699176
2020-05-28,22577,1721753
2020-05-29,24266,1746019
2020-05-30,24146,1770165
2020-05-31,20007,1790172
2020-06-01,20848,1811020
2020-06-02,20801,1831821
2020-06-03,19699,1851520
2020-06-04,21140,1872660
